"","ReviewSource","brand","average_rating"
"1","AppStore","abeg",2.16666666666667
"2","AppStore","flutterwave",2.62616822429907
"3","Playstore","abeg",2.53937381404175
"4","Playstore","flutterwave",3.74177046263345
