"ReviewSource","brand","replystatus","n"
"AppStore","abeg","No Reply",10
"AppStore","abeg","Reply",68
"AppStore","flutterwave","No Reply",75
"AppStore","flutterwave","Reply",32
"Playstore","abeg","No Reply",462
"Playstore","abeg","Reply",1646
"Playstore","flutterwave","No Reply",325
"Playstore","flutterwave","Reply",4171
